trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
24,0,24,0,83.34556966699893,84.34500141700119,84.34500141700119,down,0,3.016207749999012,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
25,0,25,0,87.37904995899953,88.3784779589987,88.3784779589987,up,1,0.8994892079972487,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
26,0,26,0,89.29546737499913,90.31549120899945,90.31549120899945,up,1,0.9075121249989024,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
27,0,27,0,91.24554237499979,92.24557329199888,92.24557329199888,up,1,0.6763219159984146,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
28,0,28,0,92.94524616700073,93.94528362499841,93.94528362499841,down,0,1.2404690840012336,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
29,0,29,0,95.21164362499985,96.21266804200059,96.21266804200059,up,0,0.7625232079990383,1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
30,0,30,0,96.99590341699877,97.99545450000005,97.99545450000005,down,0,0.6366267919984239,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
31,0,31,0,98.66177524999875,99.6618822499986,99.6618822499986,down,0,1.0325148750016524,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
32,0,32,0,100.71241408399874,101.71235049999814,101.71235049999814,down,0,0.8317832499997166,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
33,0,33,0,102.56233775000146,103.56206608399953,103.56206608399953,down,0,1.231910999998945,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
34,0,34,0,104.81263354199837,105.81273895900085,105.81273895900085,up,0,0.823904583001422,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
35,0,35,0,106.66238587499902,107.66294954199839,107.66294954199839,down,1,0.7582028329961759,-2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
36,0,36,0,108.44518037499802,109.44565254199915,109.44565254199915,up,1,1.3172999159978644,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
37,0,37,0,110.77908483400097,111.77861683399897,111.77861683399897,up,1,0.8105480830017768,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
38,0,38,0,112.61238729199977,113.61216954200063,113.61216954200063,down,1,1.1784554579971882,1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
39,0,39,0,114.8126740000007,115.81221379199997,115.81221379199997,down,1,0.5299850420014991,-4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
40,0,40,0,116.36268950000158,117.36300074999963,117.36300074999963,up,1,0.7999960000015562,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
41,0,41,0,118.17911824999828,119.17946999999913,119.17946999999913,up,1,0.7232376249994559,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
42,0,42,0,119.9289968339981,120.92900954200013,120.92900954200013,down,1,1.509926832997735,3,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
43,0,43,0,122.46222900000066,123.46226291700077,123.46226291700077,up,1,0.8279346669987717,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
44,0,44,0,124.31266658399909,125.3125355000011,125.3125355000011,down,1,0.7075797079996846,4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
45,0,45,0,126.04584550000072,127.04590658400048,127.04590658400048,down,1,0.7072217089989863,4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
46,0,46,0,127.7787219999991,128.77893350000159,128.77893350000159,down,1,0.8324288749972766,-3,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
47,0,47,0,129.62958458399953,130.62914066699886,130.62914066699886,down,1,0.5836255419999361,-3,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
48,0,48,0,131.22962175000066,132.22982770900126,132.22982770900126,up,1,0.8702846250016592,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
49,0,49,0,133.12916699999914,134.1294342500005,134.1294342500005,down,1,0.7249483749983483,4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
50,0,50,0,134.87907750000159,135.87929058399823,135.87929058399823,down,1,0.6459830409985443,-4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
51,0,51,0,136.54605012499815,137.54597487499996,137.54597487499996,up,1,0.8089237919994048,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
52,0,52,0,138.37895199999912,139.37911225000062,139.37911225000062,up,1,0.8614758340008848,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
53,0,53,0,140.262793083999,141.2627805839984,141.2627805839984,up,1,0.7911639170015405,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
54,0,54,0,142.07936504199824,143.07983429199885,143.07983429199885,down,1,0.6725068329978967,-2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
55,0,55,0,143.7791673339998,144.77992079199976,144.77992079199976,down,1,0.5179562499979511,-5,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
56,0,56,0,145.32960654199996,146.32934637500148,146.32934637500148,up,1,1.0168203329994867,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
