1.4376 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
54.8781 	EXP 	fixation: autoDraw = False
54.8781 	EXP 	grating: autoDraw = True
55.1779 	EXP 	grating: autoDraw = False
55.9321 	EXP 	New trial (rep=10, index=0): None
55.9350 	DATA 	Keypress: up
55.9447 	EXP 	fixation: autoDraw = False
55.9447 	EXP 	grating: autoDraw = False
55.9447 	EXP 	grating: ori = 0.0
55.9447 	EXP 	fixation: autoDraw = True
56.9451 	EXP 	fixation: autoDraw = False
56.9451 	EXP 	grating: autoDraw = True
57.2457 	EXP 	grating: autoDraw = False
58.4494 	EXP 	New trial (rep=11, index=0): None
58.4524 	DATA 	Keypress: down
58.4613 	EXP 	fixation: autoDraw = False
58.4613 	EXP 	grating: autoDraw = False
58.4613 	EXP 	grating: ori = 0.0
58.4613 	EXP 	fixation: autoDraw = True
59.4615 	EXP 	fixation: autoDraw = False
59.4615 	EXP 	grating: autoDraw = True
59.7621 	EXP 	grating: autoDraw = False
60.4497 	EXP 	New trial (rep=12, index=0): None
60.4526 	DATA 	Keypress: up
60.4614 	EXP 	fixation: autoDraw = False
60.4614 	EXP 	grating: autoDraw = False
60.4614 	EXP 	grating: ori = 0.0
60.4614 	EXP 	fixation: autoDraw = True
61.4617 	EXP 	fixation: autoDraw = False
61.4617 	EXP 	grating: autoDraw = True
61.7625 	EXP 	grating: autoDraw = False
62.7158 	EXP 	New trial (rep=13, index=0): None
62.7186 	DATA 	Keypress: up
62.7281 	EXP 	fixation: autoDraw = False
62.7281 	EXP 	grating: autoDraw = False
62.7281 	EXP 	grating: ori = 0.0
62.7281 	EXP 	fixation: autoDraw = True
63.7284 	EXP 	fixation: autoDraw = False
63.7284 	EXP 	grating: autoDraw = True
64.0285 	EXP 	grating: autoDraw = False
64.4169 	EXP 	New trial (rep=14, index=0): None
64.4196 	DATA 	Keypress: up
64.4283 	EXP 	fixation: autoDraw = False
64.4283 	EXP 	grating: autoDraw = False
64.4283 	EXP 	grating: ori = 0.0
64.4283 	EXP 	fixation: autoDraw = True
65.4289 	EXP 	fixation: autoDraw = False
65.4289 	EXP 	grating: autoDraw = True
65.7280 	EXP 	grating: autoDraw = False
66.4999 	EXP 	New trial (rep=15, index=0): None
66.5028 	DATA 	Keypress: up
66.5118 	EXP 	fixation: autoDraw = False
66.5118 	EXP 	grating: autoDraw = False
66.5118 	EXP 	grating: ori = 0.0
66.5118 	EXP 	fixation: autoDraw = True
67.5114 	EXP 	fixation: autoDraw = False
67.5114 	EXP 	grating: autoDraw = True
67.8119 	EXP 	grating: autoDraw = False
68.5321 	EXP 	New trial (rep=16, index=0): None
68.5350 	DATA 	Keypress: up
68.5448 	EXP 	fixation: autoDraw = False
68.5448 	EXP 	grating: autoDraw = False
68.5448 	EXP 	grating: ori = 0.0
68.5448 	EXP 	fixation: autoDraw = True
69.5446 	EXP 	fixation: autoDraw = False
69.5446 	EXP 	grating: autoDraw = True
69.8446 	EXP 	grating: autoDraw = False
70.1339 	EXP 	New trial (rep=17, index=0): None
70.1366 	DATA 	Keypress: up
70.1444 	EXP 	fixation: autoDraw = False
70.1444 	EXP 	grating: autoDraw = False
70.1444 	EXP 	grating: ori = 0.0
70.1444 	EXP 	fixation: autoDraw = True
71.1462 	EXP 	fixation: autoDraw = False
71.1462 	EXP 	grating: autoDraw = True
71.4614 	EXP 	grating: autoDraw = False
71.8992 	EXP 	New trial (rep=18, index=0): None
71.9019 	DATA 	Keypress: up
71.9119 	EXP 	fixation: autoDraw = False
71.9119 	EXP 	grating: autoDraw = False
71.9119 	EXP 	grating: ori = 0.0
71.9119 	EXP 	fixation: autoDraw = True
72.9114 	EXP 	fixation: autoDraw = False
72.9114 	EXP 	grating: autoDraw = True
73.2124 	EXP 	grating: autoDraw = False
73.4992 	EXP 	New trial (rep=19, index=0): None
73.5021 	DATA 	Keypress: up
73.5120 	EXP 	fixation: autoDraw = False
73.5120 	EXP 	grating: autoDraw = False
73.5120 	EXP 	grating: ori = 0.0
73.5120 	EXP 	fixation: autoDraw = True
74.5123 	EXP 	fixation: autoDraw = False
74.5123 	EXP 	grating: autoDraw = True
74.8120 	EXP 	grating: autoDraw = False
75.0338 	EXP 	New trial (rep=20, index=0): None
75.0366 	DATA 	Keypress: up
75.0454 	EXP 	fixation: autoDraw = False
75.0454 	EXP 	grating: autoDraw = False
75.0454 	EXP 	grating: ori = 0.0
75.0454 	EXP 	fixation: autoDraw = True
76.0452 	EXP 	fixation: autoDraw = False
76.0452 	EXP 	grating: autoDraw = True
76.3452 	EXP 	grating: autoDraw = False
76.5157 	EXP 	New trial (rep=21, index=0): None
76.5184 	DATA 	Keypress: up
76.5290 	EXP 	fixation: autoDraw = False
76.5290 	EXP 	grating: autoDraw = False
76.5290 	EXP 	grating: ori = -1.0
76.5290 	EXP 	fixation: autoDraw = True
77.5289 	EXP 	fixation: autoDraw = False
77.5289 	EXP 	grating: autoDraw = True
77.8289 	EXP 	grating: autoDraw = False
78.3495 	EXP 	New trial (rep=22, index=0): None
78.3523 	DATA 	Keypress: down
78.3617 	EXP 	fixation: autoDraw = False
78.3617 	EXP 	grating: autoDraw = False
78.3617 	EXP 	grating: ori = 0.0
78.3617 	EXP 	fixation: autoDraw = True
79.3620 	EXP 	fixation: autoDraw = False
79.3620 	EXP 	grating: autoDraw = True
79.6620 	EXP 	grating: autoDraw = False
80.6169 	EXP 	New trial (rep=23, index=0): None
80.6196 	DATA 	Keypress: up
80.6289 	EXP 	fixation: autoDraw = False
80.6289 	EXP 	grating: autoDraw = False
80.6289 	EXP 	grating: ori = 0.0
80.6289 	EXP 	fixation: autoDraw = True
81.6288 	EXP 	fixation: autoDraw = False
81.6288 	EXP 	grating: autoDraw = True
81.9285 	EXP 	grating: autoDraw = False
83.3327 	EXP 	New trial (rep=24, index=0): None
83.3356 	DATA 	Keypress: up
83.3456 	EXP 	fixation: autoDraw = False
83.3456 	EXP 	grating: autoDraw = False
83.3456 	EXP 	grating: ori = 0.0
83.3456 	EXP 	fixation: autoDraw = True
84.3450 	EXP 	fixation: autoDraw = False
84.3450 	EXP 	grating: autoDraw = True
84.6459 	EXP 	grating: autoDraw = False
87.3671 	EXP 	New trial (rep=25, index=0): None
87.3698 	DATA 	Keypress: down
87.3790 	EXP 	fixation: autoDraw = False
87.3790 	EXP 	grating: autoDraw = False
87.3790 	EXP 	grating: ori = 0.0
87.3790 	EXP 	fixation: autoDraw = True
88.3785 	EXP 	fixation: autoDraw = False
88.3785 	EXP 	grating: autoDraw = True
88.6793 	EXP 	grating: autoDraw = False
89.2834 	EXP 	New trial (rep=26, index=0): None
89.2862 	DATA 	Keypress: up
89.2955 	EXP 	fixation: autoDraw = False
89.2955 	EXP 	grating: autoDraw = False
89.2955 	EXP 	grating: ori = 0.0
89.2955 	EXP 	fixation: autoDraw = True
90.3155 	EXP 	fixation: autoDraw = False
90.3155 	EXP 	grating: autoDraw = True
90.6293 	EXP 	grating: autoDraw = False
91.2329 	EXP 	New trial (rep=27, index=0): None
91.2358 	DATA 	Keypress: up
91.2455 	EXP 	fixation: autoDraw = False
91.2455 	EXP 	grating: autoDraw = False
91.2455 	EXP 	grating: ori = 0.0
91.2455 	EXP 	fixation: autoDraw = True
92.2456 	EXP 	fixation: autoDraw = False
92.2456 	EXP 	grating: autoDraw = True
92.5450 	EXP 	grating: autoDraw = False
92.9330 	EXP 	New trial (rep=28, index=0): None
92.9359 	DATA 	Keypress: up
92.9452 	EXP 	fixation: autoDraw = False
92.9452 	EXP 	grating: autoDraw = False
92.9452 	EXP 	grating: ori = 0.0
92.9452 	EXP 	fixation: autoDraw = True
93.9453 	EXP 	fixation: autoDraw = False
93.9453 	EXP 	grating: autoDraw = True
94.2457 	EXP 	grating: autoDraw = False
95.2006 	EXP 	New trial (rep=29, index=0): None
95.2035 	DATA 	Keypress: down
95.2116 	EXP 	fixation: autoDraw = False
95.2116 	EXP 	grating: autoDraw = False
95.2116 	EXP 	grating: ori = 1.0
95.2116 	EXP 	fixation: autoDraw = True
96.2127 	EXP 	fixation: autoDraw = False
96.2127 	EXP 	grating: autoDraw = True
96.5122 	EXP 	grating: autoDraw = False
96.9825 	EXP 	New trial (rep=30, index=0): None
96.9853 	DATA 	Keypress: up
96.9959 	EXP 	fixation: autoDraw = False
96.9959 	EXP 	grating: autoDraw = False
96.9959 	EXP 	grating: ori = 0.0
96.9959 	EXP 	fixation: autoDraw = True
97.9955 	EXP 	fixation: autoDraw = False
97.9955 	EXP 	grating: autoDraw = True
98.2955 	EXP 	grating: autoDraw = False
98.6498 	EXP 	New trial (rep=31, index=0): None
98.6525 	DATA 	Keypress: down
98.6618 	EXP 	fixation: autoDraw = False
98.6618 	EXP 	grating: autoDraw = False
98.6618 	EXP 	grating: ori = 0.0
98.6618 	EXP 	fixation: autoDraw = True
99.6619 	EXP 	fixation: autoDraw = False
99.6619 	EXP 	grating: autoDraw = True
99.9623 	EXP 	grating: autoDraw = False
100.6997 	EXP 	New trial (rep=32, index=0): None
100.7025 	DATA 	Keypress: down
100.7124 	EXP 	fixation: autoDraw = False
100.7124 	EXP 	grating: autoDraw = False
100.7124 	EXP 	grating: ori = 0.0
100.7124 	EXP 	fixation: autoDraw = True
101.7124 	EXP 	fixation: autoDraw = False
101.7124 	EXP 	grating: autoDraw = True
102.0129 	EXP 	grating: autoDraw = False
102.5493 	EXP 	New trial (rep=33, index=0): None
102.5520 	DATA 	Keypress: down
102.5623 	EXP 	fixation: autoDraw = False
102.5623 	EXP 	grating: autoDraw = False
102.5623 	EXP 	grating: ori = 0.0
102.5623 	EXP 	fixation: autoDraw = True
103.5621 	EXP 	fixation: autoDraw = False
103.5621 	EXP 	grating: autoDraw = True
103.8621 	EXP 	grating: autoDraw = False
104.8002 	EXP 	New trial (rep=34, index=0): None
104.8030 	DATA 	Keypress: down
104.8126 	EXP 	fixation: autoDraw = False
104.8126 	EXP 	grating: autoDraw = False
104.8126 	EXP 	grating: ori = 0.0
104.8126 	EXP 	fixation: autoDraw = True
105.8127 	EXP 	fixation: autoDraw = False
105.8127 	EXP 	grating: autoDraw = True
106.1129 	EXP 	grating: autoDraw = False
106.6498 	EXP 	New trial (rep=35, index=0): None
106.6525 	DATA 	Keypress: up
106.6624 	EXP 	fixation: autoDraw = False
106.6624 	EXP 	grating: autoDraw = False
106.6624 	EXP 	grating: ori = -2.0
106.6624 	EXP 	fixation: autoDraw = True
107.6629 	EXP 	fixation: autoDraw = False
107.6629 	EXP 	grating: autoDraw = True
107.9619 	EXP 	grating: autoDraw = False
108.4328 	EXP 	New trial (rep=36, index=0): None
108.4355 	DATA 	Keypress: down
108.4452 	EXP 	fixation: autoDraw = False
108.4452 	EXP 	grating: autoDraw = False
108.4452 	EXP 	grating: ori = 0.0
108.4452 	EXP 	fixation: autoDraw = True
109.4457 	EXP 	fixation: autoDraw = False
109.4457 	EXP 	grating: autoDraw = True
109.7455 	EXP 	grating: autoDraw = False
110.7671 	EXP 	New trial (rep=37, index=0): None
110.7699 	DATA 	Keypress: up
110.7791 	EXP 	fixation: autoDraw = False
110.7791 	EXP 	grating: autoDraw = False
110.7791 	EXP 	grating: ori = 0.0
110.7791 	EXP 	fixation: autoDraw = True
111.7786 	EXP 	fixation: autoDraw = False
111.7786 	EXP 	grating: autoDraw = True
112.0792 	EXP 	grating: autoDraw = False
112.5998 	EXP 	New trial (rep=38, index=0): None
112.6026 	DATA 	Keypress: up
112.6124 	EXP 	fixation: autoDraw = False
112.6124 	EXP 	grating: autoDraw = False
112.6124 	EXP 	grating: ori = 1.0
112.6124 	EXP 	fixation: autoDraw = True
113.6122 	EXP 	fixation: autoDraw = False
113.6122 	EXP 	grating: autoDraw = True
113.9120 	EXP 	grating: autoDraw = False
114.7999 	EXP 	New trial (rep=39, index=0): None
114.8026 	DATA 	Keypress: down
114.8127 	EXP 	fixation: autoDraw = False
114.8127 	EXP 	grating: autoDraw = False
114.8127 	EXP 	grating: ori = -4.0
114.8127 	EXP 	fixation: autoDraw = True
115.8122 	EXP 	fixation: autoDraw = False
115.8122 	EXP 	grating: autoDraw = True
116.1124 	EXP 	grating: autoDraw = False
116.3510 	EXP 	New trial (rep=40, index=0): None
116.3537 	DATA 	Keypress: down
116.3627 	EXP 	fixation: autoDraw = False
116.3627 	EXP 	grating: autoDraw = False
116.3627 	EXP 	grating: ori = 0.0
116.3627 	EXP 	fixation: autoDraw = True
117.3630 	EXP 	fixation: autoDraw = False
117.3630 	EXP 	grating: autoDraw = True
117.6624 	EXP 	grating: autoDraw = False
118.1672 	EXP 	New trial (rep=41, index=0): None
118.1699 	DATA 	Keypress: up
118.1791 	EXP 	fixation: autoDraw = False
118.1791 	EXP 	grating: autoDraw = False
118.1791 	EXP 	grating: ori = 0.0
118.1791 	EXP 	fixation: autoDraw = True
119.1795 	EXP 	fixation: autoDraw = False
119.1795 	EXP 	grating: autoDraw = True
119.4790 	EXP 	grating: autoDraw = False
119.9168 	EXP 	New trial (rep=42, index=0): None
119.9196 	DATA 	Keypress: up
119.9290 	EXP 	fixation: autoDraw = False
119.9290 	EXP 	grating: autoDraw = False
119.9290 	EXP 	grating: ori = 3.0
119.9290 	EXP 	fixation: autoDraw = True
120.9290 	EXP 	fixation: autoDraw = False
120.9290 	EXP 	grating: autoDraw = True
121.2294 	EXP 	grating: autoDraw = False
122.4495 	EXP 	New trial (rep=43, index=0): None
122.4523 	DATA 	Keypress: down
122.4622 	EXP 	fixation: autoDraw = False
122.4622 	EXP 	grating: autoDraw = False
122.4622 	EXP 	grating: ori = 0.0
122.4622 	EXP 	fixation: autoDraw = True
123.4623 	EXP 	fixation: autoDraw = False
123.4623 	EXP 	grating: autoDraw = True
123.7631 	EXP 	grating: autoDraw = False
